region;day;TempMax_Deg;TempMin_Deg;Wind_kmh;Wet_percent;Visibility_km;CloudCoverage_percent
BOURGOGNE-FRANCHE-COMTE;2018-04-01;8.5;5.0;19.0;89.0;9.4375;73.0
BOURGOGNE-FRANCHE-COMTE;2018-04-02;13.0;9.0;15.5;63.5;10.0;82.0
BOURGOGNE-FRANCHE-COMTE;2018-04-03;16.5;13.5;27.5;58.0;9.875;41.0
BOURGOGNE-FRANCHE-COMTE;2018-04-04;12.0;8.0;21.5;95.5;8.9375;63.5
BOURGOGNE-FRANCHE-COMTE;2018-04-05;10.5;8.5;20.5;87.0;9.875;55.5
BOURGOGNE-FRANCHE-COMTE;2018-04-06;17.5;11.5;11.5;68.5;10.0;7.5
BOURGOGNE-FRANCHE-COMTE;2018-04-07;19.5;14.0;11.5;64.0;10.0;25.5
BOURGOGNE-FRANCHE-COMTE;2018-04-08;18.5;16.5;10.0;79.0;9.8125;44.5
BOURGOGNE-FRANCHE-COMTE;2018-04-09;14.5;12.5;12.0;87.5;7.8125;85.0
BOURGOGNE-FRANCHE-COMTE;2018-04-10;11.0;8.5;21.5;84.0;8.25;50.5
BOURGOGNE-FRANCHE-COMTE;2018-04-11;16.0;12.0;24.5;67.0;10.0;49.5
BOURGOGNE-FRANCHE-COMTE;2018-04-12;16.0;12.5;17.5;68.0;9.4375;39.5
BOURGOGNE-FRANCHE-COMTE;2018-04-13;14.5;10.5;17.5;79.0;8.5;42.5
BOURGOGNE-FRANCHE-COMTE;2018-04-14;16.0;14.0;11.0;75.0;9.5625;76.0
BOURGOGNE-FRANCHE-COMTE;2018-04-15;16.5;14.0;5.5;80.0;7.25;44.0
BOURGOGNE-FRANCHE-COMTE;2018-04-16;16.0;13.0;11.5;81.5;7.875;39.0
BOURGOGNE-FRANCHE-COMTE;2018-04-17;20.0;15.5;9.0;69.5;9.0;6.5
BOURGOGNE-FRANCHE-COMTE;2018-04-18;22.5;18.5;16.0;59.0;10.0;2.0
