etablissement;annee;ville;academie;departement;taux_brut_de_reussite_total_series;taux_reussite_attendu_france_total_series
LYCEE LALANDE;2019;BOURG EN BRESSE;LYON;AIN;97;96
LYCEE JOSEPH-MARIE CARRIAT (GENERAL ET TECHNO.);2019;BOURG EN BRESSE;LYON;AIN;79;91
LYCEE INTERNATIONAL (GENERAL ET TECHNO.);2019;FERNEY VOLTAIRE;LYON;AIN;89;95
LYCEE JEANNE D'ARC;2019;CESSY;LYON;AIN;99;98
LYCEE LA PROVIDENCE;2019;LAON;AMIENS;AISNE;82;94
LYCEE ST VINCENT DE PAUL;2019;SOISSONS;AMIENS;AISNE;96;99
LYCEE THEODORE DE BANVILLE;2019;MOULINS;CLERMONT-FERRAND;ALLIER;90;94
LYCEE ALBERT LONDRES;2019;CUSSET;CLERMONT-FERRAND;ALLIER;89;92
LYCEE SAINT PIERRE;2019;CUSSET;CLERMONT-FERRAND;ALLIER;88;93
LYCEE SAINT BENOIT;2019;MOULINS;CLERMONT-FERRAND;ALLIER;89;89
LYCEE VALERY LARBAUD (GENERAL ET TECHNO.);2019;CUSSET;CLERMONT-FERRAND;ALLIER;84;93
LYCEE LE SACRE COEUR (GENERAL ET TECHNO.);2019;DIGNE LES BAINS;AIX-MARSEILLE;ALPES DE HTE PROVENCE;95;94
LYCEE AUGUSTE RENOIR;2019;CAGNES SUR MER;NICE;ALPES MARITIMES;91;94
LYCEE BRISTOL;2019;CANNES;NICE;ALPES MARITIMES;85;87
LYCEE JULES FERRY;2019;CANNES;NICE;ALPES MARITIMES;97;95
LYCEE MASSENA;2019;NICE;NICE;ALPES MARITIMES;97;93
LYCEE HONORE D'ESTIENNE D'ORVES (GENERAL ET TECHNO.);2019;NICE;NICE;ALPES MARITIMES;88;91
LYCEE LES FAUVETTES;2019;CANNES;NICE;ALPES MARITIMES;91;92
LYCEE LA PROVIDENCE;2019;NICE;NICE;ALPES MARITIMES;97;94
LYCEE ASTIER (GENERAL ET TECHNO.);2019;AUBENAS;GRENOBLE;ARDECHE;96;94
LYCEE DU SACRE COEUR (GENERAL ET TECHNO.);2019;TOURNON SUR RHONE;GRENOBLE;ARDECHE;99;94
LYCEE SAINT DENIS;2019;ANNONAY;GRENOBLE;ARDECHE;99;95
LYCEE THOMAS MASARYK;2019;VOUZIERS;REIMS;ARDENNES;89;90
LYCEE SAINT PAUL (GENERAL ET TECHNO.);2019;CHARLEVILLE MEZIERES;REIMS;ARDENNES;97;94
